JOB PROFILE,TOOLS
software technical support,"technical support experience with commercial software products, external customer service skills, ms windows operating systems, communication and interpersonal skills, sense of humor, technical skills"
technical infrastructure analyst,"itil, storage, virtualization"
sap car/posdm consultant,"sap car, sap posdt, sap is-retail"
business systems sr.,"business . analyst, technical , its processing, design , databases , construction and testing, tests modules, jad, claim processing, its home and it host claims, edi"
embedded linux developer,"java, linux, c++"
network architect  ,"network, architect, ccnp, cisco', '""network architect""', 'architecture, change management, dns, management, security, windows', 'data center, network design, architecture, routing, switching, administration', 'juniper, checkpoint, cisco ,cisco, juniper, f5,wan/man/lan/wi-fi/data center', 'ccnp, ccvp, ccdp, ccde, ccie, osi, sdn, cloud architecture, cisco, cisco nx-os, cisco ios, sip trunking, sip, network design, network management, mpls, voip, eigrp, bgp, ospf, tcp/ip, qos', 'apache, architecture, bash, citrix, configuration management, dba, development, disaster recovery, dns, jenkins, linux, management, metrics, mysql, mysql, networking, perl, php, protocols, research, security, smtp, unix, vmware, windows', 'proxy;firewall; network access control; ccnp ; scripting', 'voip, cisco, ucce, ucm, ccnp, sip, sql', 'citrix enterprise netscaler load balancers, lan, wan, cisco, asr routers, nexus data center, sourcefire, ccnp', 'architecture, ccie, ccna, ccnp, cisco, citrix, development, laptop, metrics, project, release, security, ssl, vpn, wan, wireless', 'cisco ace, f5, citrix load balancers, palo alto network firewall, checkpoint firewall, cisco asa, ccie, pcnse', 'ccne ccie', 'citrix,eigrp,ospf,cisco ace,f5,network access control"
sr. salesforce manager,senior salesforce manager
technology lead-sharepoint 2013,".net application development , c#,windows sharepoint services"
pre-sales systems engineer,"tcp/ip, bgp4, mpls, snmp, rmon, openview, unicenter, tivoli, micromuse netcool, firewall, ids, ips, virus, internet worms, ddos"
build and deployment,force.com ant deployment experience
it project manager,oracle goldengate java offshore developed manager agile replication sqa code
embedded field applications,"embedded, c++, c++builder"
mainframe/cobol developer  ,"mainframe, mvs, cobol, jcl. heavy business contact. strong documentation experience.', 'mainframe, mvs, cobol, jcl. heavy business contact. strong documentation experience."
tm1 solution architect,"aix, architecture, cgi, development, hardware, ibm, iterative, security, user interface"
system developer (operating,"iam, python, php, windows powershell, unix, sql"
"systems administrator (linux,","virtualization installation and configuration of openstack and vmware environment, windows, linux"
senior java developer,"java, rabbitmq, messaging, spring, gui, hibernate, sql, tomcat, rest, restfulapi, websocket, web socket, agile, portland, swing"
helpdesk associate  ,"development, http, supply chain"
software architect team,"full time, full time"
sfdc technical architecture,"sfdc,apex,force.com,net,java etc...."
java software engineer,".net or java application servers, web services, agile, and proponent of test driven development', 'j2ee/web services,jquery, javascript, html, angular.js,spring mvc', 'java, big data', 'akka, zeromq, kafka, storm, hadoop, sql, nosql,', 'java, nosql, hadoop, algorithms, akka', 'java', 'javascript, restful, react and jquery', 'java', 'java, open source, ci/cd, devops', 'java, java script, full stack development, front end development, sdlc, agile', 'java, java script, full stack development, front end development, sdlc, agile', 'j2ee, java, spring, oracle, javascript"
software test engineer,"c++, python', 'qa methodologies and sdlc standards; client/server computing technologies, architecture, database technologies and various programming languages', 'college degree or related discipline, 2 years identifying test scenarios and writing test scripts, solid debugging skills, excellent testing skills', 'qa methodologies and sdlc standards; client/server computing technologies, architecture, database technologies and various programming languages', 'java, restful apis', 'automation, python, testing, jenkins', 'clearquest and ""software test"" and linux and windows', 'c# testing, java, fitnesse, alm, qa', 'agile scrum kanban test engineer qa selenium junit cucumber jasmine qtp', 'qa, java, junit, testng, back-end testing', 'watir, seleniu, ruby"
ux designer/ ui,"ui design experience with html/css applications. experience with html/css frameworks such as bootstrap, user interface design and communication"
sr.business intelligence (bi),"t-sql, kimball or similar warehousing, aps, olap, especially ssas, and mdx, aws, apache"
sas predictive modeler,"sas predictive modeling, sas enterprise miner, sas/stat, sas/base, sas visual analytics"
servicenow application developer,"servicenow, snow, javascript, web services, html, css, jelly, itil"
.net application specialist,"c# or vb.net, jquery, ssrs"
software engineer -,"java c++ webservices rest api restful tcp tcp/ip ip ipv5 ipv6 linux network stack sockets multithreading testing docker vmware containers', 'java c++ webservices rest api restful tcp tcp/ip ip ipv5 ipv6 linux network stack sockets multithreading testing docker vmware containers"
business analyst archer,business analyst archer grc consultant
solutions developer /,"ms sql server, c#, vba, mvc web, visual studio, vb.net, css, html"
ui/ux developer  ,"c#,asp,dotnet,.net,html5,css,jquery,javascript,bootstrap,ui,ux', '""adobe flash"" and ""photoshop"" and ""illustrator"" and (""audio editing software"" or ""adobe captivate"" or ""lectora"" or ""articulate"" or ""adobe connect"" or""acrobat"")', 'angularjs, backbone.js, knockout or ember.js, javascript, html5, css3', 'front end developer', 'javascript, agile, html, css, ux, ui, front end, ux design, ui development, php,', 'html, css, d3, node, bootstrap, angular, grub, adobe creative suite, javascript, css and html, java or c#', 'ui/ux developer', 'illustrator, sketch, photoshop, microsoft office, ui designer, balsamiq, ux developer"
sr. network engineer,"cisco catalyst switches/routers, nexus switches, asa firewall, lan controllers, ccnp, palo alto firewalls', 'sr. network engineer', 'analysis, architecture, ccie, ccnp, cisco, diagnostic, dns, genetic, hardware, network engineer, protocols, research, routers, security, supervision, switches, vpn', 'lan/man/wan, multiprotocol routers, multilayer switches, network security devices and network management systems.', 'architecture, cisco, computer, engineer, engineering, isp, network, networking, network engineer, networks, perl, protocols, python, routers, security, software, stp, supervision, switches, systems, unix, vpn, wan, wireless', 'see job description', 'lan/wan, datacenter , wireless infrastructure , load balancing, ethernet fabrics, wan optimization', 'cisco networking, eigrp, ospf, bgp, palo alto networks, cisco asas, juniper, fortinet, checkpoint, wireshark, sniffer, tacacs+, cisco acs, kiwi syslog, cacti, manageengine deviceexpert', 'cisco, nexus, juniper, f5, layer 3, bgp, ospf, spanning tree', 'cisco, vmware', 'peering, lan, wan, vpn, edge, cisco, juniper, bgp, mpls, tcp/ip, isp, gaming, games, network', '(""network architecture"" or ""network architect"" or ""network administrator"" or ""network engineer"" or ""network admin"" or ""sr. network engineer"" or ""sr. network admin"") and ""asr""', 'ts/sci', 'wireless experience, cisco routing and switching, firewall experience, solid fundamental networking skill set.', 'routing, switching, network, security, tcp, ip, firewalls, acl, linux, unix, shell, perl, python, ospf, bgp, mpls, vrf, openstack,', 'anycast, bgp and ospf"
system analyst (client,"system analyst, system integrations, client facing, sdlc, xml, aerospace industry"
new job for,"ux/creative execution, sketch and adobe creative suite"
senior customer support,"linux, windows, network, storage"
epic security consultant,"provisioning with ser/emp , has done provisioning w/in epic builds', 'provisioning with ser/emp , has done provisioning w/in epic builds"
lead developer -,"sql, perl, php, java, c++"
exchange/ ads admin,"windows, ""active directory"", exchange, servers, administration, administrator"
release engineer  ,"agile, architecture, change management, configuration management, customer service, development, e-commerce, html, ide, iis, java, lifecycle, linux, management, oracle, perl, programming, project, project management, qa, release, security, source code, sql, svn, system architecture, web server, windows, xml', 'chef, aws, linux', 'backup and recovery, java, perl, programming, project, python, release, sdlc', 'release engineer"
obiee developer/analyst(obiee reporting,"obiee developer/analyst(obiee reporting tool,oracle,reports,web based dashboard,data model,etl)"
sap qm  ,"sap qm, pm, lot management', 'sap pp, qm and pm experience"
qa manager  ,"qa, web development, testing', 'qa manager', 'qa, manual and automated testing, lead, sdlc, qtp, agile, scrum, database architecture, tfs, sql', 'qa', 'create practice from scratch, .net and java testing, leadership"
oracle hrms test,"oracle, hrms, ebs, qa, payroll, benefits, testing"
need:: cache /,"cache, mumps', 'cache, mumps"
supplier quality engineer,previous experience as a quality engineer in the medical devices industry
contract to hire,"ibm middleware platform, ibm certification, linux"
software developer php,"ruby on rails, php"
salesforce administrator /analyst,"salesforce/force.com, hr, payroll systems, process builder"
ui developer--inperson interview,"javascript, jquery, angular, html and css, angular2, typescript"
sales force technical,"as per detailed job description.', 'as per detailed job description."
full stack: engineer,"full stack,emr,fhir, hipaa,pci or phi,aws or azure,cerner discer,epic bpa"
principal software architect,"5+ years of experience in application architecture, enterprise architecture, systems integration and development. some of these should includehands-on work with saas, paas and iaas cloud solutions', '10-15 yrs experience, secure code experience, security"
servicenow change management,"servicenow change management module, saas solutions; change classification and categorization; and change management governance."
data integration engineer,frameworks metadata
office automation specialist,"excel knowledge, updating contact management, filenet and content navigator."
linux kernel yacto,"linux kernel, yacto, usb, tcp/ip, c"
"data warehousing developer(cognos10/11,framework","data warehousing developer(cognos10/11,framework manager,report studio,sql,kimball)"
".net developer, wpf,",".net, financial background, c#, wpf, wcf"
bigdata technical lead,"apache spark, hadoop ecosystems, python, json, kafka, scala, hbase"
sap abap consultant,"crm, ecc"
security & compliance,"♣ experience with security architecture frameworks in cloud based environments (e.g., aws, openstack, vmware, etc.) is strongly preferred."
it business system,"bsa,ms office suite"
mid level java,"java, spring framework, api"
senior scientific programmer/analyst,"computational neuroscience, neuroimaging, neuroengineering, & synthetic biology; matlab, r, python, & c; linux clusters; research computing"
application developer  ,"java, spring, restful, kafka, rabbit', 'application developer,java/j2ee, php and perl skill, oracle, sql developer, operating system rhel, nss application developed in java/j2ee , php & pe', '.net developer, application developer, programmer, c# developer, software engineer, software developer', '.net, architecture, asp, asp.net, developer, development, encryption, management, security, sql, sql server, testing', 'application developer', 'php, html ,javascript', 'java/j2ee backend', '.net, angularjs, asp, asp.net, developer, project, sql', 'application development', 'c#, fix protocol, unix, linux', 'application developer', 'tad pgs, inc. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the u.s. federal marketplace, including u.s. government agencies and their prime contractors. wi', '.net , java', 'c#, .net, asp.net, mvc, jquery, javascript, swift, xcode, android, sql, ios', 'c#, sql, web service', 'java,c++,python', 'asp.net, mvc, web developer senior application developer, senior software developer, lead software developer, .net architect, senior web developer, lead web developer, software engineer, c#,', 'application development', 'sdlc, sql, scrum, git, development, photoshop, balsamiq, illustrator', 'application development', 'sql server, tableau, excel', 'application developer', 'c#, vb.net, sql, xmal', 'information system application, php, perl, c#, c++, css, javascript, mysql, sql server, oracle, structured query language, sql, linux, unix', '(""application developer"" or ""software developer"" or ""software application developer"" or ""developer"") and (""perl"" or ""php"" or ""c++"" or ""c#"") and (""mysql"" or ""oracle"") and (""linux"" or ""unix"") and sql', 'ubuntu 6.0 lts to ubuntu 14.0 lts, php, perl, c#, c++, mysql, sql server and/or oracle, linux/unix', 'analytics', '.net software development, soap, api, windows foundation workflow, linq, entity framework, microsoft sql server, transact-sql, microsoft ssis, microsoft ssrs, microsoft visual studio, xmlspy', 'java, j2ee, sql, agile, web applications, javascript frameworks, ejb, hibernate', 'software development methodologies, traditional, agile, analytical skills, structured query language (sql), ms vb .net', 'sql, oracle, etl"
sap analyst  ,"sap etl, teradata, pl/sql informatica unix shellscripting, ms suites"
peoplesoft/oracle developer-computer programmer/analyst,"sql, peoplesoft, peoplecode, application engine, integration broker, component interface"
information security compliance,"understanding of common security controls, working knowledge of industry information security standards, thorough knowledge of current security regulatory requirements"
front end developer,"(learn* or publish* or educat*) and javascript and angular and integration and angularjs and (d3.js or crossfilter or dc.js) and bootstrap and git', 'javascript, html/html5, css3, backbone, jquery, node.js, jsunit, ajax, rest, soap', 'javascript, maven,css,backbone"
network engineer -,"cucm, call manager, network, voip, wan, wireless, palo alto, f5', 'cucm, call manager, network, voip, wan, wireless, palo alto, f5"
hpc system level,"""parallel programming"" openmp, mpi, hpc processors, accelerators, distributed systems, high-performance, fabrics, queuing theory, linear algebra, analytical, models"
excellent opening for,cognos reporting cognos 10 framework manager report studio
epic asap analyst,"analyst, consulting, epic"
solutions engineer /,"solutions engineering, it automation tools"
sitecore ba  ,"ektron, sitecore, cms"
"manager, software engineering","agile, development, j2ee, java, lifecycle, manager, management, project, project management, release, scrum"
database administration (mysql/mariadba),mysql/mariadb
front-end developer  ,"html, javascript, css, jquery, sql, wordpress, git, photoshop', 'javascript, jquery, angular js css and html"
cisco uc/ucce engineer,"cisco uc/ucce/icm/cvp ,cisco voice gateways (ingress/egress) and vxml gateways"
"data architect ""hands","experience across multiple database platforms, primarily with oracle, but also sql server."
oracle ebs dba,"oracle applications,oracle ebs,oracle dba,oem"
associate systems engineer,"ccna, ccnp, cisco"
principal systems analyst,"systems analyst, sql', 'systems analyst, sql"
mobile development manager,"""bachelor's degree in computer science or related field"""
salesfoce business analyst,business analyst with saesforce experience
full-stack java developer,"java, html, css, javascript, sql"
travel position support,"desktop support, travel, sales, financial services, salesforce.com, connect direct"
assembler    ,"read and interpret documents such as bill files, safety rules, operating and maintenance instructions, mechanical drawings and procedure manuals ; add, subtract, multiply, and divide in all units', 'read and interpret documents such as bill files, safety rules, operating and maintenance instructions, mechanical drawings and procedure manuals ; add, subtract, multiply, and divide in all units"
technology lead -,"sharepoint , html / css , javascript , .net , asp.net , rest"
senior desktop engineer,"desktop, servers, office365, active directory, tcp/ip', 'windows, 7, 8 ,10, office, active directory, mobile devices, powershell, cisco"
sr. software qa,"software qa, fda quality systems reg, statistical qc, medical device (or similar), sqa process improvement, some release"
sitecore/c# project  ,(c# ) and (html ) and (javascript ) and (mvc ) and (css or responsive design ) and(sitecore or site core )
f5 engineer /,f5 engineer / administrator - remote work
full-stack web developer,"html, javascript, jquery, css, sql server, iis administration, ux design"
intermediate software developer,".net, asp.net webforms & mvc, html, c#, t-sql, xml, css, ajax, jquery, javascript, sql reporting services, ssis, wcf, sqr, phonegap, visual studio, pl/sql, winform, unit testing"
presales solutions engineer,"metro ethernet, mpls, sdn, nfv, carrier, presales"
princ./ lead dsp,"dsp, c++, firmware, cellular, lte, rf, wcdma, 802.11, wifi, wi-fi, matlab"
mobile developer  ,"c#.net, xamarin, git', 'android, apache, architecture, c++, data warehouse, developer, development, hardware, ios, java, lifecycle, management, middleware, mobile development, mobile application development, objective c, oop, release, security, testing', 'applications, developer, development, http, java, javascript, management, object oriented design, programming, protocols, soap, software, source code, ssl, tcp/ip, video', 'ios ,sdk, objective-c, swift, javascript', 'architecture, developer, development, ios', 'mobile, ios, android, app', 'javascript, react.js, redux, react native, node.js, graphql', 'ios, swift, android, java, sdk', 'ios, android', 'mobile development, cordova/phonegap, xamarin/visualstudio, jquery mobile', 'ios, objective-c, android, mobile, native, developer', 'telerik', 'swift and ios objective-c and ios/mac android cordova javascript', 'ios ,sdk, objective-c, swift, javascript', 'c#, .net 3.5+, javascript,', 'ios, android"
senior associate consultant,"healthcare ba experience, digital transformation proj exp in healthcare, agile, project mgmt, ahip certified"
sr tech support,(technical support over 1 year(s) or tech support over 1 year(s) or desktop support over 1 year(s) or application support over 1 year(s) ) and(cloud or storage or encryption or mobile ) and(desktop )
.net developer/sql developer,"c #, .net, vb.net, html, css, xml, ssis, ssrs, tableau, javascript, jquery"
cognos/business intelligence (bi),"cognos, bi, business intelligence, sql, erp, oracle e-business, data warehouse, oracle, sql server database, sql server', 'cognos, bi, business intelligence, sql, erp, oracle e-business, data warehouse, oracle, sql server database, sql server"
it tech lead,".net, jquery, sql, c# and/or vb.net', '.net, jquery, sql, c# and/or vb.net"
research engineer -,"machine learning, ai, computer vision and/or data science, unmanned vehicles, robotics, or other automated systems"
java j2ee developer,java
business objects architect,"business objects, webi"
performance qa engineer,qa test python load testing performance testing in cloud linux shell nosql
data conversion- solution,"analysis, consulting, development, excel, http, lawson, lifecycle, manager, management, oracle, peoplesoft, powerpoint, project, sap, sap hr, sales, testing"
sr.(and less exp.),"c#, net (4+), mvc, web services with wcf or web api, json (familiarity), sql server 2012 and/or oracle 10/11, +s silverlight, fin serv. applications"
risk manager  ,"aerospace, analysis, database, manager, management, networks, project, protocols, research, risk management, security"
sql developer  ,sql developer
voip administrator  ,"cucm, call manager, voip, sip, h.323, qos, cisco, routers, switches, uccx"
helpdesk support  ,"helpdesk support', 'helpdesk"
python developer  ,"3+ years of software development experience', 'python, linux, oracle', 'python, talend, scripting, unix', 'python', 'python developer,python programmer,django,python frame works', '4+ years working with python, django, postgresql, python data structures and data flows', 'python, django, celery, javascript, html5, css3', 'python, c++, shell scripting language, qt4, qt5, python ui controls', 'financial', 'python developer', 'django, core python, banking experience', 'python,c++,stb,ios/android', 'minimum qualifications: strong python programming skills, with a minimum of 3 years hands on experience developing enterprise application software. experience with one or more virtualization and clo', 'python development, linux, oracle, couchbase, mysql', 'python, java, r, solar, spark', 'python/django/pyramid/flask/web2py', 'python, c++, shell scripting language, qt4, qt5, python ui controls', 'python django linux rest api developer programmer memcache ldap javascript', 'python,jenkins,rest api,git,ruby and rails, confluence', 'python 2.7 , django 1.4, ajax', 'pyside, pyqtgraph, numpy, matplot lib, mayavi; visual studio 2013 / 2015;', 'python, java, api, json, agile, gradle, linux', 'python, selenium, json, wsdl, xml,xsd', 'python, django, postgres, oracle"
ux desinger  ,"ux researcher, contextual inquiry, and usability testing"
senior infrastructure engineer,"""linux server (red hat pref.), window servers, leadership, db's, networking (cisco or similar), vmware, saas/cloud platforms,scripting, security,"""
tableau developer  ,"tableau applications, system testing ,', 'business intelligence, data warehouse, developer, development, excel, lifecycle, metrics, ms office, networks, outlook, sql, sql server', 'tableau, sql, bi, data visualization', 'tableau ""data mapping"" analytics', 'tableau, bi, sql', 'tableau desktop,excel,html, css, java', 'tableau,bi.reporting and sql', '7+ years of hands-on experience designing and developing tableau visualization solutions. experience developing dashboards, charts, pivots in tableau desktop 9.3 or higher using calculations, paramete', 'tableau, sql"
multiple cyber security,"cyber security', 'cyber security', 'cyber security"
cable technician  ,"cabling, technician', 'cable technician, racking, stacking, fiber, cabling, network installations"
senior professional: network,"ccna, ccnp, circuits, cisco, hardware, lan, management, networking, network engineer, networks, scripts, security, testing, video, wan, wireless"
hadoop developer (need,hadoop pig hive
salesforce developer /,salesforce developer with some architecture skills
storage administrator  ,"san, emc, netbackup', '3-5 years of storage area network (san) design experience with emc vmax, ibm xiv, and v9000, and hitachi storage arrays', 'san, netapp, hitachi, storagetek, dod, clearance, security+, brocade"
front end web,"html, css, scss, javascript, jquery, bootstrap, angular js, js, ajax, .net, tfs, raster, vector graphics"
information security analyst-r,"information security management frameworks...at101 soc 2, iso, itil, cobit, nis"
hardware design engineer,"hardware design eng - microprocessor design, fpga development ( verilog ), circuit design, layout design, simulation tools', 'hardware design engineer', 'ddr-3/ddr-4/pci-express/ caui-4 / xfi / sfi, emi, emc, oscilloscopes, logic & spectrum analyzers"
"product specialist, network","minimum of three years experience with the product management and/or support of a technical software product, particularly with a professional-grade network management software application"
senior ui developer,"javascript, front end development, css3, html5', 'angularjs, automated, browser, css, developer, development, foundation, git, gui, html, javascript, jquery, libraries, management, project, testing, user interface, version control', 'ui, ux, angular, javascript, html, css', 'html, html5, xml, json, css/css3, javascript, jquery, angularjs, less, sling, osgi, jcr/jackrabbit, crx', 'html, html5, xml, json, css/css3, javascript, jquery, angularjs, less, sling, osgi, jcr/jackrabbit, crx', 'ui, ux, angular, javascript, html, css', '.net4.5 angular js angular frameworks css mvc wcf html5 css3 java script', 'angular, react, nodejs"
technical support long-term,(help desk or helpdesk or help-desk or technical support or tech support or callcenter or call-center ) and(ticket or incident or call tracking or troubleshoot or ticketing or remedy or network or re
it help desk,"help desk, level 2 support, windows, citrix, lan/wan, ethernet"
aws devops engineer,"aws, apache httpd, tomcat, jboss, jetty,', 'aws, amazon web services, ec2, vpc, vitrual private cloud, iam, access management, beanstalk, cloudtrail, cloudwatch, s3, kinesis, terraform, ansible, puppet, chef"
junior software engineer,"developing c#, sql server, and javascripts', 'java, html5, javascript, css', 'engineering general"
application packaging ibm,"application packaging, ibm big fix"
mac / c++,"mac, ios, c++, ui, developer, c#"
compliance analyst -,"adtech experience, html, javascript"
director of engineering,"linux, windows, hpc, univa, docker, containers, puppet, chef, ansible, cfengine, os networking, vlans, ibm gpfs, san, it infrastructure, gpu, object storage, cloud, vendor management, negotiation', 'object-oriented programming and design principles in c#, java, or other language(s) mentoring and motivating teams of high performing engineers and data scientists', 'director, engineering, development, quality, c#, microsoft, technology, leadership"
inside sales engineer,"sales, engineering, technical sales, customer service"
"technical project manager,","peoplesoft, agile/waterfall methodologies, pmo"
s/w engineer  ,"c#, c++, .net4.0, wcf and java proven windows ui design skills, ideally with wpf specific experience proven ability to generate and trace requirements"
desktop support  ,"scripting,powershell,desktop support,virtualisation', 'analysis, customer service, desktop support, ethernet, excel, exchange, hardware, lan, laptop, management, pc, powerpoint, protocols, supervision, vpn, wan, wireless', 'see job description', 'desktop support', 'desktop support, ethernet, hardware, lan, pc, protocols, vpn, wan, wireless', 'analytical skills, citrix, customer service, desktop support, networking, protocols', 'desktop support, technician, windows, windows xp, windows 7, windows 8', 'remote desktop management tools, technical writing and documentation, active directory', 'desktop support, windows 7, customer service, troubleshooting, problem solving', 'windows, active directory', 'desktop suport/hardware-software/windows/blackberry / ios / android', 'desktop, support, helpdesk', '""desktop support"", network, office, microsoft, excel, word, power point, outlook, access, desktop, support,', 'desktop support, on-line transactions, error messages, installations', 'help desk, active directory, windows, desktop support', 'ms office suite 2003,2007 and 2010. symantec ghost, outlook', 'desktop support, sccm/casper, sophos windows, 7/mac osx, service now, ticketing system, ms office, it service desk specialist"
project manager cots,please refer to job description
business reporting and,"lean six sigma, sql, crystal reports"
infrastructure architect  ,"(infrastructure architect ) and (.net ) and (devops ) and (vmware ) and (oracle soa )', 'infrastructure, vmware, virtualization', 'analysis, architecture, database, database administration, management, project, research, risk management, security', 'analysis, architecture, brocade, capacity planning, configuration management, excel, hardware, ibm, library, linux, management, ms office, networking, project, project management, protocols, unix, vmware, windows', '*minimum 6 years of experience in technical or infrastructure architect capacity *minimum 2 years working in banking or financial services industry *minimum 1 year of experience using powerpoint', 'vmware, apache, active directory, implementation, hardware, cisco, wan', 'soa, ebs, oracle, data center, palo alto, f5, vmware, itsm, jms, osb, error management, security, data loss prevention, addm, application monitoring,', 'infrastructure architecture, cloud"
director    ,"business requirements, director, manager, management, project, quality assurance', 'java, j2ee, oracle, rest, web services, linux, leadership, management, telecom, network protocol"
senior quality engineer,"senior quality engineer cnc six sigma / lean certification ms word excel powerpoint', 'analysis, analytical, application, basic, engineer, engineering, iso, manager, management, mechanical, metrics, performance, quality, quality assurance, risk management, system, systems"
opentext streamserve senior,"opentext streamserve, sap ada"
sr. business objects,"analysis, architecture, business objects, bw, cgi, cognos, crystal reports, database, data modeling, developer, development, informatica, management, modeling, olap, oracle, pl/sql, project, sap, sap bw, sdlc, security, software engineer, sql, sql server, sybase, testing"
cloud engineer /,"aws, hadoop, cloud, devops"
sr. software qa,"investments/financial industry experience, software qa testing"
linux/vmware systems administrator,installation and configuration of openstack and vmware environment. virtual guest provisioning and management including resource tuning.
lead developer  ,"angular 2, xml,xslt, commercial database management systems experience, developing and maintaining large scale etl processes, biomedical environment; hl7 interface knowledge and fhir (familiarity)', 'devops, cloudops, mysql, nosql, containerization, mobile app development, python, php - devops, cloudops, mysql, nosql, containerization, mobile app development, python, php', 'java ,c++,mq,tibco and c#"
information security manager,"(asset management over 1 year(s) or vulnerability over 1 year(s) or vendor management over 1 year(s) or vendor assessment over 1 year(s) ) and(policy over 1 year(s) or governance over 1 year(s) or ri', 'cissp; information security;', 'security and hipaa, hitech, data protection, identity and access management, iam', 'information security manager, cissp, ssp, diagrams, data flow, ac, ia, sc, fips 199, developing contingency plans, incident response plans, and configuration management plans, engineering, cloud, nist"
iplanet to ohs,"iplanet , ohs ,migration"
senior android &,experience successfully publishing to the google play store and maintaining app versions
sr software automation,"agile scrum test automation architect qa soap ui pro, couldtest, selenium, fitnesse, hp quick test pro or uft, testng, saucelabs groovy, python, perl, ruby, vb script, javascript"
software engineer (java),"java software development/architecture, microservices, aws', 'agile, analysis, architecture, automated, browser, css, database, data collection, data modeling, developer, development, genetic, git, html, java, modeling, pl/sql, programming, project, scientific, scrum, sdlc, soap, software engineer, sql, svn, testing', 'java,j2ee,json,hibernate', 'software, java, intellij, intellij idea, svn, subversion, google protocol buffers, jgroups, java ui, network programming, mavin, jenkins, javafx, weld, leveldb, java sql database, worldwind, hands-on"
apple technician  ,3 years of experience with deployment and configuration projects working with apple products
integration verification engineer,"systemverilog,uvm, verification, (integration or full-chip or full chip) (ddr or memory controller), (interface verification or protocol verification), jtag, (coverage or directed random)"
"senior software engineer,","quality engineering, test automation, python, c++, java"
sr.software engineer/etl  ,"etl, pl/sql, informatica unix shellscripting, ms suites"
senior experience designer,"5+ years of designing applications, experiences, websites, products, and services"
business analyst /,"business analyst , quality analyst , sql, oracle, uat, scrum, agile, black box testing, user stories, sdlc, white box testing, grey box testing,test case design, defect tracking.', 'business analyst , quality analyst , sql, oracle, uat, scrum, agile, black box testing, user stories, sdlc, white box testing, grey box testing,test case design, defect tracking."
managing consultant sap,"sap, security, isu"
"c, c++ consultant","c, c++, search domain"
opentext enterprise architect,"opentext , enterprise architect, dp,ada"
workforce data analyst,"data analysis, business process, sql"
.net architect level,".net developer, design experience, c#, vb.net"
technology architectservice &,"api, service management, uml, bpm"
"systems engineer, storage","red hat linux, oracle, windows server, vmwrre, vsphere, esxi & vcenter builds, cisco zoning, veeam & backup exec"
sql server database,sql server
"project manager, cloud","reporting to the director of product management of cloud backup division, the project manager will work closely with cross-functional team members to manage high visibility projects and requires the"
sql developer /,sql reporting services
successfactors hcm solution,"analysis, consulting, development, excel, http, manager, management, powerpoint, project, sap, sap hr, sales"
it security and,"cyber security, risk, sox, cloud"
business information security,(security over 3 year(s) ) and (cissp or cap or ccsp or isc or iscp or security over 2 year(s) ) and(information protection or ip security or ip standards or ip strategy or information protection sta
advertising specialist  ,"advertising content grooming,infrastructure, streaming, play verification, providing authorization to bill, mpeg, headend, end to end signal flow"
it operations analyst,"language skills, communication skills, reasoning ability"
project role -,"agile, analysis, analyst, data analysis, database, developer, development, hadoop, oracle, project, scripts, scrum, specification, sql"
asic verification consultant,"asic verification, system verilog, cpu/gpu, soc, rtl"
sr. engineer (.net,"object oriented analysis, design and programming, windows communication foundation, xml/xsd/xslt"
sr. business intelligence,sr. business intelligence developer - downtown fort worth
data center operator,previous experience working in a data center
digital project manager,"adobe, b2b, development, excel, lifecycle, manager, management, microsoft project, project, project management, project manager, quality, quality assurance, risk management, scheduling, testing, web', 'candidate must have actual pm experience in the digital space ( more specifically would be full-scale websites).', 'project manager, digital, agency', 'digital pm, project manager', 'print advertising, interactive, online/offline direct marketing, vendor management', '2 - 4 years creative project management experience in digital environment."
peoplsoft/oracle dba  ,"oracle/peoplesoft 9.1 or higher and peopletools 8.54 or higher environments (hcm 9.2+, financials 9.1+, epm 9.1+), oracle 11g rac, asm and dataguard"
sr network consultant,"cisco, routers, network, linux, lan, wan, wireshark, ios, asa, solarwinds"
bilingual collections associate,"bilingual collections associate job in irving, tx', 'bilingual collections associate job in irving, tx"
sr. developer  ,"ecommerce checkout flow, java, j2ee, cloud applications, eai, eap, soa, soap, restful, spring, apache, oracle, sql, tcp, ip, linux, os, web architecture, development', 'c#, wcf, wpf, ssis, ssrs', 'web services, j2ee, apache, soa, restful, solr', 'refer to job description', 'asp.net c# mvc javascript jquery sql wcf"
project role -,"agile, architecture, business intelligence, database, data modeling, data warehouse, developer, development, hadoop, iterative, j2ee, java, lifecycle, management, modeling, programming, project, python, scheduling, scrum, shell scripting, testing, unix, ups, version control"
middleware engineer (jboss,"j2ee, middleware, jboss, weblogic"
.net application support,".net, ajax, analyst, android, asp, asp.net, database, developer, development, foundation, ios, java, javascript, jquery, linux, management, programming, scripts, shell scripting, soap, sql, sql server, unix, windows, xml, xsl"
help desk job,"help desk job in coppell, tx"
production services lead,"consulting, java, linux, project, teradata, unix"
"business consultant, customer","well also need to see this on your resume: * 4-6+ years of high achievement in a functional role as a business consultant, focused in customer experience and/or contact center"
ilt / wbt,"captivate, curriculum development, flash, instructional"
internal audit senior,"telecommuting not available travel not required', 'telecommuting not available travel not required"
